area_m2,quartos,banheiros,vagas,idade_anos,preco
165,1,2,1,11,961698.0
136,2,2,2,24,848535.19
93,3,4,1,18,631043.53
145,2,2,2,20,827821.09
124,4,4,1,18,763005.28
168,3,3,1,5,948981.77
84,2,1,1,27,435357.39
103,3,3,1,22,604433.21
100,3,3,1,24,586279.91
46,4,4,2,27,392879.37
134,4,5,2,19,986044.56
133,3,3,1,29,781523.18
120,3,4,1,18,772660.74
108,3,3,2,12,722458.96
49,3,3,2,14,460945.65
98,2,3,2,14,604806.31
102,2,3,2,9,649724.13
79,3,3,1,31,514094.85
111,2,2,1,17,724918.19
140,1,1,1,15,861103.37
214,3,3,0,18,1301610.25
128,1,1,2,44,756957.96
132,3,3,0,3,822019.54
116,3,4,3,6,814594.38
40,5,5,2,1,496264.11
118,3,3,3,12,843675.64
123,1,1,3,17,714809.16
243,3,4,1,10,1681238.75
110,4,4,2,9,743882.03
135,5,5,0,16,852815.89
118,3,2,0,9,767687.01
61,2,2,2,18,424958.39
177,4,5,0,26,1083703.63
157,2,2,4,21,1025051.85
159,3,3,2,23,886278.19
74,3,3,2,25,533432.81
190,1,2,1,17,1151722.18
49,2,3,2,13,360619.97
149,2,2,0,7,885255.77
229,3,2,2,11,1320637.43
70,4,4,0,9,569521.27
91,2,2,2,22,618304.8
124,4,4,1,18,775380.06
94,1,1,0,21,616039.25
42,3,3,1,3,408743.02
123,1,1,0,29,693627.91
66,4,4,2,10,562846.15
143,3,4,1,3,965988.52
74,3,2,1,10,469377.79
197,4,4,1,39,1149115.88
80,3,4,1,11,585927.5
103,5,5,1,11,714859.96
160,3,3,2,13,1001400.79
58,4,4,0,13,505875.62
131,3,3,0,7,772523.65
185,2,2,1,16,1031489.31
40,3,3,1,25,310672.43
129,2,3,1,18,658207.4
132,3,3,1,3,876940.68
159,3,3,2,11,961516.44
58,3,3,0,9,433142.44
53,1,1,1,15,315462.4
146,2,2,1,28,810786.45
134,3,3,2,13,908796.33
132,5,5,4,14,964063.34
137,2,2,1,32,773802.39
85,3,3,4,23,656216.76
131,3,3,1,20,716366.1
134,3,4,0,34,828444.98
84,2,2,0,19,460137.29
213,3,3,1,0,1190257.18
143,2,2,1,23,747049.23
60,5,5,0,0,517640.55
152,2,2,1,19,842067.98
71,2,1,1,0,474953.45
159,1,1,0,10,802356.27
177,2,2,1,11,1084221.16
78,3,4,3,7,676835.24
168,2,2,1,11,945171.98
140,1,2,2,25,762171.55
161,3,3,2,7,934101.55
214,1,1,1,20,1166325.33
107,1,1,1,5,557207.69
82,4,5,1,13,563632.78
75,3,4,1,18,569675.53
79,4,4,1,5,606805.91
116,4,4,1,1,885936.32
137,3,3,0,19,792076.25
133,1,1,3,26,772978.84
161,3,3,1,14,922869.15
120,4,5,2,10,799062.81
192,3,3,1,16,1047607.27
106,3,3,3,15,763705.1
256,2,2,1,17,1617256.75
151,4,4,1,0,920838.57
77,3,3,3,4,680956.89
66,5,5,2,6,663394.54
144,2,3,0,16,908554.05
108,2,2,0,16,664397.35
155,2,1,2,21,932037.18
143,3,3,2,17,1004374.83
116,2,1,1,1,740986.64
77,1,1,1,29,420831.24
44,5,5,2,27,448135.39
97,1,1,1,2,611157.93
162,4,5,2,18,936990.23
130,2,2,0,9,739255.99
57,4,4,4,16,599505.27
128,3,4,2,25,685431.77
139,4,3,2,36,761371.0
75,4,5,1,22,554068.74
127,1,1,0,17,714150.44
122,1,1,1,11,618178.55
62,2,3,2,16,446425.44
137,3,4,2,28,920810.15
148,4,4,1,14,929074.72
174,3,3,2,6,1124582.96
172,3,3,2,0,995499.26
51,2,3,0,20,336674.39
73,4,4,1,17,581476.94
145,5,5,2,8,996595.92
145,2,2,1,25,744487.78
145,3,3,2,10,837659.79
312,1,1,1,13,2349910.23
148,3,3,4,14,901958.66
176,3,4,0,11,1110750.3
167,2,2,1,17,908368.21
152,3,4,0,26,890773.62
104,2,2,0,3,650477.09
157,3,3,1,19,770775.27
81,3,4,0,16,486523.42
108,1,1,4,16,705841.56
95,3,3,3,23,641068.7
124,3,3,1,15,828690.09
235,2,3,2,19,1264997.24
40,1,2,1,22,294752.15
154,3,3,2,9,837843.02
40,5,5,2,17,417401.67
96,2,2,0,12,532442.57
174,2,2,2,13,1152770.49
123,2,3,2,11,681683.82
66,3,3,1,19,466895.91
84,2,3,3,15,532194.29
153,2,2,3,18,1063671.57
83,3,2,1,14,566624.32
130,3,3,2,0,844149.8
122,2,2,4,15,902740.62
87,3,3,1,15,589369.89
227,3,3,1,17,1411872.42
151,1,1,0,9,835209.68
40,1,1,3,3,381980.67
129,4,4,2,21,800664.01
86,1,1,0,12,488479.94
162,3,3,4,16,1108484.67
80,4,4,2,12,615358.28
114,2,3,3,14,761971.71
145,2,2,0,10,737005.31
163,3,4,1,5,1111445.19
59,4,4,2,19,460756.21
103,4,4,1,8,763917.12
96,3,4,2,16,665223.55
87,1,1,2,19,467537.24
208,3,3,1,9,1351573.63
140,3,3,2,2,899960.39
56,3,3,0,39,416720.6
165,1,1,1,9,898198.76
226,2,2,0,21,1396988.62
171,3,3,1,34,836663.89
44,3,3,1,22,342713.83
95,2,3,2,11,560003.09
183,2,2,2,14,1012698.05
84,4,4,1,6,639250.88
142,3,4,2,23,833155.21
158,2,2,0,20,940814.48
73,2,2,0,9,439188.57
117,2,2,2,4,780627.0
40,4,4,2,1,462350.67
68,3,3,2,24,528649.14
107,3,3,1,16,662248.58
57,3,4,2,17,381368.33
201,2,3,2,6,1219257.96
48,4,5,4,0,539539.77
97,3,3,1,24,570549.98
126,2,2,1,15,709457.02
192,2,2,2,24,1197245.82
48,3,3,4,11,434962.62
178,4,3,1,12,1101787.55
120,2,2,1,22,714240.53
70,4,5,1,22,521646.63
143,3,3,1,22,895931.35
129,2,2,1,12,861501.67
89,1,2,0,21,501341.49
123,2,1,1,26,682459.68
100,3,3,1,13,682872.26
125,2,2,0,9,785235.57
153,2,1,1,28,834387.43
199,3,4,0,8,1124832.33
58,3,3,4,21,422399.08
226,2,2,1,14,1264099.52
40,3,3,2,0,349909.2
112,3,2,1,26,713024.52
149,3,2,3,0,951073.13
134,4,4,1,0,855188.49
88,2,1,1,20,529616.01
109,4,4,1,20,669877.84
95,3,3,2,8,728520.33
90,3,3,1,16,657897.89
162,3,3,1,0,1106859.57
137,3,4,0,22,866941.52
85,2,3,2,17,563168.77
164,3,3,1,14,1094173.82
135,3,4,0,15,777692.38
160,3,3,1,19,875880.54
151,2,2,1,14,827182.92
78,4,4,2,0,635516.12
91,3,3,0,36,522101.56
157,1,1,1,27,834003.0
150,3,3,2,2,812565.67
118,3,4,2,11,803270.32
125,3,4,1,12,695876.33
183,3,3,2,25,983266.31
90,4,4,1,0,718779.56
147,2,2,1,10,935733.77
109,3,3,4,0,823956.04
109,4,4,3,12,819686.58
174,4,4,1,10,1014974.62
161,3,2,0,15,865459.71
160,4,5,1,8,978788.83
185,1,1,0,7,878468.21
121,4,4,0,21,778919.56
154,2,1,1,19,864865.44
104,2,2,3,20,643101.78
136,2,3,3,13,990997.95
113,3,3,1,9,756531.06
124,2,3,1,13,792038.18
149,2,3,0,20,816860.89
79,2,2,1,0,529943.6
224,2,2,0,18,1374698.47
69,3,4,2,18,524331.3
59,3,4,0,15,499207.29
177,2,2,3,13,1053047.63
159,3,3,2,0,940442.45
151,4,4,1,10,992949.52
151,3,3,0,32,774789.92
119,2,2,2,15,775924.36
75,3,4,3,11,549661.06
123,2,2,2,15,780431.93
86,2,1,1,18,495876.23
168,2,2,1,21,979472.57
112,4,4,1,12,801222.81
78,2,2,4,19,588637.15
103,1,2,2,31,541062.15
140,2,1,2,25,740285.74
91,4,4,1,38,567849.48
78,3,3,2,8,477648.89
132,2,2,1,31,816013.37
132,3,3,0,7,811586.52
94,3,3,1,18,557314.2
96,3,3,3,22,767003.89
131,2,2,2,9,747091.9
47,4,4,0,15,410568.43
49,2,2,3,24,386667.04
84,3,4,1,7,498511.55
109,1,1,1,31,533170.59
135,2,1,1,1,765029.83
193,2,2,1,34,1124385.07
162,3,3,1,25,968628.6
112,1,1,1,14,646167.29
119,3,3,2,10,641986.31
69,2,2,1,9,513899.62
119,3,3,2,13,774108.67
105,4,5,0,14,702226.63
136,3,3,2,27,899194.63
78,3,3,2,34,576295.06
145,3,3,2,16,967837.36
196,2,3,1,6,1098841.28
114,4,5,2,9,727959.86
140,2,1,0,13,847643.92
154,3,3,3,4,894358.83
99,3,3,0,3,746056.34
131,2,2,0,35,724118.37
120,2,2,1,18,647911.52
124,3,3,2,6,717554.61
81,4,4,0,23,503212.2
121,4,5,3,3,900499.45
144,3,4,4,4,983496.8
192,3,3,2,6,1023679.39
167,4,4,1,31,965168.89
227,1,2,2,12,1206715.8
81,2,2,1,0,565457.84
163,3,3,1,27,940374.93
129,4,4,3,11,876149.07
229,4,4,4,0,1391171.22
79,3,3,3,11,603648.3
78,1,1,1,20,444738.01
90,3,3,1,19,606534.83
40,2,2,1,32,290834.73
93,2,2,1,6,628448.6
82,3,3,1,15,535887.89
127,1,2,1,8,628161.3
137,4,4,2,0,976755.12
213,3,3,2,23,1172586.3
167,3,3,2,19,903699.34
91,1,1,2,17,542621.84
75,2,2,0,19,477780.74
144,1,1,0,8,759323.74
53,5,5,2,4,491848.96
211,4,4,1,15,1241411.98
178,3,3,1,26,1136703.02
96,2,2,0,31,553381.41
40,4,4,1,22,343193.43
187,2,2,2,15,981088.41
114,2,2,3,17,734456.98
181,3,3,3,15,1143859.64
40,4,4,1,4,414448.65
90,1,1,1,15,532739.49
120,2,2,2,1,698088.62
122,4,4,1,13,768520.38
97,2,2,1,31,607171.69
151,2,2,3,23,840643.35
66,3,3,2,5,488590.41
112,4,5,3,14,868623.74
126,3,4,1,6,862438.15
145,5,5,1,14,929431.03
155,3,2,2,25,877646.39
63,1,1,0,21,329523.96
43,5,5,2,39,428804.07
183,3,3,0,26,1139772.95
136,2,2,2,17,969593.32
82,3,4,2,21,596384.73
197,2,2,0,12,1082575.51
125,1,1,1,3,667482.12
178,1,1,2,28,818252.86
123,3,3,2,25,773294.51
223,4,5,1,12,1673930.23
207,3,4,3,17,1423901.98
107,5,5,1,27,800109.32
168,2,2,1,23,958979.16
152,2,2,0,0,905310.43
188,2,2,3,17,902429.19
71,2,2,0,13,483285.89
154,2,2,1,26,825863.29
172,3,3,2,25,950940.78
40,4,4,1,28,353612.62
60,5,5,1,3,520205.93
40,2,1,1,7,291731.34
106,4,3,2,26,696772.4
155,2,1,1,9,842130.26
195,2,1,3,0,1174350.1
123,4,4,3,20,757682.17
201,3,3,2,9,1160284.38
50,2,2,2,32,321128.32
40,3,4,1,17,341051.92
117,2,2,1,16,703984.45
139,3,3,2,11,752695.84
118,3,3,3,30,733352.82
40,5,5,1,18,431798.58
115,1,1,1,10,585384.21
54,2,2,1,7,450609.49
153,3,3,1,14,1002066.31
138,3,3,0,5,804366.69
73,2,2,1,25,433373.24
94,3,3,1,0,650339.32
67,4,5,1,13,473490.72
116,4,5,1,21,645408.27
167,4,4,2,18,990224.28
70,4,4,3,7,607910.16
145,3,3,4,21,955665.14
93,4,5,1,6,642754.83
80,2,1,0,14,533327.22
114,2,3,4,21,680980.76
68,2,2,2,19,419475.36
92,3,3,1,8,642059.28
60,2,3,0,26,359199.01
218,5,5,0,15,1233473.02
121,2,2,0,22,698828.92
85,1,1,0,30,425808.96
130,3,3,3,26,841939.61
114,1,1,1,26,595671.24
108,2,2,2,16,620090.56
150,2,2,2,22,721184.1
157,3,4,2,17,970212.87
93,3,4,3,2,645461.18
91,3,3,4,18,673807.25
106,3,3,1,17,646866.82
40,3,2,4,20,403226.54
44,2,1,2,13,331482.71
188,2,2,0,7,1065757.03
202,3,4,2,21,1117421.09
107,1,2,2,1,729462.33
148,1,1,3,29,738438.23
135,3,3,1,12,812008.73
273,3,3,1,17,1922017.61
175,2,2,0,20,1001806.84
113,2,2,1,20,617748.81
72,4,4,0,0,514437.2
40,4,4,1,23,340658.67
130,3,3,2,18,846734.07
82,3,4,1,8,548489.96
48,3,3,1,7,407653.73
87,5,5,1,11,672423.4
65,5,5,0,2,650640.9
204,2,3,1,32,1269024.4
164,4,4,0,29,903782.34
119,2,2,1,19,619556.37
193,2,3,0,12,1058122.19
123,3,3,0,13,743350.09
76,3,2,1,22,413218.31
196,4,4,1,32,1072067.83
146,1,2,0,9,835923.07
68,3,3,1,3,483971.54
110,4,5,2,30,797342.53
76,4,4,2,0,525198.89
50,2,2,0,4,383710.83
166,2,2,1,12,1016236.29
215,3,3,2,0,1421006.03
50,2,1,0,26,276415.15
148,5,5,3,23,1041054.27
87,4,3,3,9,645039.53
95,2,2,3,27,567561.75
90,2,3,2,29,552577.97
76,1,1,2,13,441074.64
122,4,5,2,10,891137.83
78,2,1,2,37,488770.66
133,3,4,2,22,755293.3
117,3,4,2,17,715496.31
108,3,3,1,28,647655.53
74,1,2,1,18,455347.08
91,2,2,3,9,698549.88
157,4,5,0,15,1020966.55
145,4,5,2,25,926292.73
71,3,3,4,0,597280.34
124,1,1,2,12,615280.41
157,2,2,4,28,1062535.5
40,3,3,2,9,358212.29
147,2,2,0,30,910753.65
86,4,4,2,29,616015.22
148,3,3,1,14,1033038.21
81,1,2,1,9,531068.15
40,4,3,1,12,329383.1
40,5,5,1,41,359895.5
122,1,2,1,33,666359.95
132,3,3,1,16,749658.48
74,2,2,2,8,492676.25
151,2,1,2,16,771298.46
40,2,1,1,17,294634.79
116,3,3,1,2,761187.74
59,5,5,2,15,485126.58
87,3,4,2,28,685045.66
122,1,1,3,0,783963.23
76,3,3,0,23,467797.7
100,2,2,3,28,576569.24
170,4,5,1,9,1061566.37
91,3,4,2,31,595819.42
161,2,3,0,8,986132.96
63,2,2,1,19,416665.55
146,3,3,1,11,799127.96
192,2,3,1,11,1239654.44
40,3,3,1,8,370476.3
80,2,2,2,21,507959.57
148,2,2,2,23,866767.86
109,3,2,1,14,704749.96
138,4,4,1,1,791365.33
89,4,4,1,19,629340.56
124,2,2,4,19,782277.98
112,2,2,1,12,704475.37
178,2,2,1,33,917736.2
132,3,3,1,0,789847.8
136,3,3,2,0,980070.68
99,4,3,1,7,740920.02
95,4,4,0,22,465376.43
98,2,2,2,4,692670.97
139,3,3,2,5,867359.09
98,4,4,2,24,635814.82
134,4,3,0,19,750711.35
223,1,2,1,18,1196671.41
163,2,2,3,22,933312.26
103,3,3,3,10,673273.75
180,2,1,1,11,894752.74
99,2,3,0,23,545936.29
40,1,1,1,1,306222.65
69,3,3,1,0,517063.71
40,2,2,2,10,349896.95
102,1,1,4,24,655500.98
120,2,2,1,17,635332.88
203,4,4,0,23,1229274.11
136,4,4,3,0,878241.74
109,3,2,0,18,692037.78
161,3,4,4,21,946169.0
40,5,5,2,1,428558.35
131,2,2,3,23,801633.7
158,2,3,0,13,954353.88
46,2,3,0,45,301688.73
177,2,3,1,0,1036656.11
136,2,3,1,28,906872.56
99,4,5,1,11,595849.38
151,3,3,4,0,926099.09
233,3,4,2,9,1355184.55
129,4,5,2,17,733458.21
132,1,1,0,25,666775.2
97,2,1,2,32,603472.32
77,3,4,2,29,515869.83
161,3,3,1,5,941725.57
77,1,2,3,26,457825.87
123,3,2,0,18,681610.35
96,3,2,1,8,599988.94
143,3,3,0,12,895786.01
136,3,3,2,7,740002.72
171,2,2,2,15,946736.31
94,1,1,1,7,608145.98
106,3,2,0,4,640357.18
71,2,2,0,19,370932.15
97,4,4,0,21,709351.97
138,3,3,1,13,889914.47
157,2,2,1,28,939066.46
73,3,3,1,12,444877.11
163,3,2,3,11,1147339.87
187,2,2,1,21,974256.22
140,4,3,2,13,849411.35
213,4,4,0,15,1212282.62
81,3,3,1,0,618559.11
57,1,2,1,15,372070.09
40,3,4,0,0,384259.53
194,3,4,0,2,1143903.96
152,2,2,3,1,956174.16
117,2,2,3,4,724617.7
133,4,4,0,9,963493.3
63,1,1,1,10,353171.4
242,3,4,4,21,1669812.68
126,3,3,0,17,782385.65
125,3,2,2,0,868417.06
156,1,1,4,15,1047161.99
144,4,5,4,18,987030.89
131,2,3,1,11,821957.27
80,3,3,0,14,609395.4
143,3,4,1,16,871432.41
214,3,3,3,22,1219275.53
187,5,5,3,0,1206706.98
199,3,4,2,12,1054154.53
94,2,3,2,30,607549.75
70,5,5,2,29,609315.37
113,3,3,2,23,708571.58
122,2,2,2,20,635335.93
174,2,2,2,31,1053066.17
40,4,5,1,34,316563.65
196,2,2,1,13,960012.52
112,3,3,2,5,726978.04
98,3,3,1,12,654931.69
69,2,1,1,45,410927.47
40,3,3,2,0,382962.9
161,1,1,2,10,1032427.17
123,3,3,3,0,859457.51
55,3,3,0,16,439606.02
55,3,4,2,2,501715.4
103,3,3,1,13,596667.4
203,4,5,3,0,1299117.2
107,3,3,0,21,770356.52
44,1,1,2,27,282617.49
107,2,2,2,11,632421.29
106,3,2,1,13,674581.44
40,4,4,4,13,452864.91
117,4,4,3,16,782917.04
108,4,4,1,14,696008.23
154,2,2,0,22,955178.58
212,3,3,1,27,1223974.75
176,3,3,1,6,930397.91
106,2,2,3,11,631604.81
64,1,2,4,24,569447.49
248,4,4,0,0,1593020.13
122,2,2,1,0,770900.88
120,2,3,1,17,679790.98
118,1,1,0,19,663101.39
129,4,5,1,7,954259.77
112,3,2,1,9,664894.99
91,3,4,1,7,652594.43
92,4,4,2,6,595539.54
118,2,3,2,21,840583.49
92,3,3,0,3,623615.29
84,1,1,2,12,499926.85
125,2,1,2,5,734567.98
107,4,4,3,0,776949.53
195,3,3,1,23,1069730.87
40,2,2,3,9,314844.45
174,2,3,3,16,1057645.48
182,3,3,1,0,1067914.48
40,1,2,1,7,316403.8
102,2,2,3,22,653457.28
101,2,3,2,40,572373.43
49,2,3,3,0,464710.77
81,4,4,2,12,528703.4
64,2,3,2,19,461737.81
207,2,3,0,8,1009350.59
166,3,3,1,23,1052072.03
183,4,4,4,6,1261470.95
156,2,1,1,16,811092.89
63,1,2,0,9,422735.75
93,2,2,2,27,579625.19
144,3,2,2,8,807127.12
58,3,3,1,11,371728.35
155,4,4,1,24,967897.22
107,5,5,1,4,720135.78
101,3,4,0,15,709657.41
155,3,3,2,0,961077.79
142,3,2,1,4,810924.68
101,1,1,3,18,741199.96
177,5,5,2,5,1184726.05
65,2,2,2,9,326554.21
150,2,2,1,19,823172.44
149,3,3,1,9,801679.5
104,2,2,1,23,580798.03
136,3,3,1,17,814953.45
57,3,3,2,19,454004.99
166,3,4,1,27,994876.07
110,4,4,2,18,807068.78
93,2,2,0,30,567501.05
172,3,4,0,24,1039703.88
84,3,3,4,9,672162.97
49,3,3,1,27,413052.49
42,3,3,1,17,345530.4
150,2,2,1,11,848329.73
55,3,4,1,17,368262.27
207,2,2,2,26,1273194.93
40,4,4,0,19,359275.31
204,2,1,1,33,1489651.62
130,3,3,1,25,757113.65
115,1,2,3,20,735172.96
92,2,3,1,4,630407.12
139,3,3,0,13,757289.77
118,4,4,1,15,794658.25
175,3,3,0,21,1001268.76
125,4,4,1,21,779100.4
127,3,3,0,16,837857.17
101,3,3,1,16,603932.77
117,2,2,0,22,686778.74
135,4,5,1,6,989106.6
40,2,2,3,31,338234.09
52,4,4,2,0,468599.58
157,4,4,0,29,1106272.1
128,4,5,1,14,870841.13
110,3,3,2,25,669254.18
120,3,3,3,18,865202.71
137,3,3,0,18,776051.2
93,2,3,2,20,524884.04
81,3,3,1,23,599841.02
129,1,1,1,11,664213.71
71,3,4,4,25,702730.49
140,2,3,2,4,825373.08
40,2,2,3,14,449533.89
171,2,2,1,23,850878.78
143,3,3,1,24,918651.52
132,3,3,2,19,849142.12
169,1,2,1,11,1006733.09
203,3,3,1,23,1252526.11
170,2,3,1,8,948658.22
40,3,3,0,32,274854.8
56,3,3,1,14,427252.5
88,3,2,2,0,620883.88
121,3,3,3,3,808773.17
145,2,2,1,15,856096.12
83,3,3,2,16,591189.14
129,3,2,0,34,680563.25
82,3,3,3,4,664348.92
89,3,2,1,15,565154.8
49,1,1,2,4,334176.54
73,3,3,2,10,568699.66
52,3,3,1,31,359661.91
71,2,2,1,3,467763.03
172,1,1,4,20,1020850.53
72,1,1,0,18,463956.98
251,4,4,2,14,1683570.88
144,3,3,4,20,984938.6
129,2,3,1,3,771677.09
77,2,2,3,31,540087.27
155,3,3,3,34,960230.59
91,4,4,2,15,667810.59
126,1,2,1,39,670245.46
248,2,2,1,11,1716713.59
115,4,4,0,19,714513.05
177,1,1,2,29,825861.91
84,2,2,2,10,676780.17
118,5,5,2,1,821409.16
208,3,3,1,0,1372476.55
88,2,2,0,35,564534.51
210,1,2,2,9,1297732.09
155,1,1,2,13,856709.38
91,2,2,3,3,670533.75
151,4,4,2,24,843258.79
168,3,3,2,7,1176020.39
151,3,3,2,10,861966.36
41,4,4,2,17,391385.33
83,3,3,1,4,583585.05
107,2,3,3,13,729178.24
116,3,4,2,29,697797.03
151,4,3,1,19,1018732.94
128,4,4,0,16,867274.01
53,1,2,1,17,363633.26
139,3,3,1,11,821378.34
150,3,3,1,34,942988.46
147,4,4,1,6,896406.38
174,2,2,1,17,1102555.9
161,3,3,0,16,944328.22
142,4,5,2,25,996782.14
116,3,3,1,26,704525.9
40,3,4,1,14,366083.05
141,1,1,0,17,839446.75
130,2,3,1,18,908672.33
133,2,2,1,0,899863.48
56,4,4,2,0,535085.38
65,2,2,2,8,484827.06
172,3,3,1,9,975274.93
118,3,3,2,3,788697.96
154,2,2,1,22,808305.69
121,3,3,4,15,862677.4
121,3,3,4,12,871641.81
166,4,4,1,2,870112.63
94,3,3,2,14,635964.82
124,3,3,2,0,831717.94
96,2,3,2,13,621311.16
98,4,4,2,15,707192.69
104,2,3,4,17,651197.09
131,3,3,1,0,773792.96
96,2,2,2,17,654549.61
182,4,4,2,4,1124051.4
75,3,3,2,6,565981.87
110,3,2,2,22,656963.2
98,2,1,1,35,558369.43
192,3,3,1,15,903541.72
129,3,3,0,6,844535.64
171,3,3,1,16,1145779.26
45,2,2,1,24,296394.75
133,5,5,4,21,886395.33
164,4,4,2,42,1011459.17
124,2,2,2,7,849052.91
173,4,4,1,17,1044324.75
94,3,2,2,30,536484.46
190,3,2,2,29,1058533.88
234,2,2,2,0,1336033.51
101,3,3,1,14,619005.96
97,3,3,1,29,596626.31
192,3,3,2,43,1000169.18
198,3,3,1,22,1056864.02
93,3,3,3,11,692605.33
98,3,3,3,4,736454.87
105,1,1,4,37,579940.39
52,4,5,2,22,476650.27
74,3,3,4,6,597178.3
69,2,2,2,12,504485.18
81,2,2,1,18,545031.62
118,3,3,1,20,698198.8
131,4,5,1,6,908548.15
197,2,1,0,8,1005820.91
70,3,4,0,0,575068.5
169,1,1,0,25,835441.68
109,3,3,2,11,733634.95
117,5,4,1,19,769770.68
153,3,3,1,29,818975.08
63,2,2,2,17,471176.2
139,3,3,2,13,818223.17
128,2,2,4,16,722299.17
144,3,4,2,15,690571.44
134,3,3,1,27,743532.14
242,3,3,1,18,1688420.54
88,2,1,1,9,601488.33
93,4,4,1,25,596138.92
88,3,3,1,27,552439.83
92,2,2,4,1,653264.52
88,3,3,0,30,491328.99
179,3,3,0,18,945347.6
191,3,3,0,17,1169624.53
91,3,3,2,25,626787.4
78,3,4,1,9,573767.15
143,2,2,1,24,727055.25
92,4,4,0,11,638603.64
151,3,3,1,0,754515.47
130,2,3,0,5,829922.33
44,3,3,1,20,367446.96
197,4,4,0,5,1041855.29
209,4,4,2,31,1529655.87
89,2,2,1,26,463261.99
100,2,2,2,28,633794.09
134,3,3,1,16,852241.61
136,2,2,1,17,711202.42
152,4,3,0,3,927682.39
220,2,1,1,24,1098483.97
111,2,3,1,18,523612.66
80,3,3,1,20,493867.75
51,2,2,2,31,340815.2
83,3,3,2,8,618305.81
118,3,3,2,13,759574.14
209,2,2,0,18,1182785.79
94,2,3,2,5,576576.03
131,3,4,0,13,771346.07
119,2,2,2,19,663196.61
179,3,3,1,11,945749.18
246,3,3,0,28,1454473.68
93,3,3,3,0,709202.5
95,4,4,2,26,625947.93
172,4,4,1,21,1006752.8
154,4,3,0,9,983285.05
212,2,1,1,5,1171606.34
149,2,2,3,0,848618.54
102,2,2,1,7,663100.9
149,4,4,4,25,1018714.8
175,5,5,0,14,1107369.89
161,4,4,1,26,1019615.15
145,2,1,2,8,878978.56
173,4,4,1,22,1039383.33
178,3,3,0,7,1232416.62
189,1,1,1,5,930847.59
152,3,4,2,13,896377.96
111,1,1,2,8,708920.48
127,3,3,2,0,829353.66
180,2,2,2,13,1092983.17
79,3,4,2,16,578754.47
138,3,3,1,27,909583.15
100,4,5,1,24,628869.01
121,3,3,2,27,829993.89
183,3,4,4,22,1259919.04
129,4,4,0,18,729766.91
122,4,3,1,2,837211.23
52,2,3,1,16,384670.93
157,3,4,1,20,894385.03
152,2,1,1,29,710113.6
228,1,1,2,21,1227504.67
104,3,2,0,27,654594.04
130,4,4,2,4,920252.71
132,2,2,2,11,780124.1
198,4,5,4,19,1349276.93
115,4,4,0,26,780900.71
133,4,4,1,13,861021.7
150,2,2,1,14,814072.3
129,4,4,1,21,847380.22
97,2,2,1,3,639479.13
